GENE_NAME
DDX11L1
WASH7P
MIR6859-1
MIR6859-2
MIR6859-3
MIR6859-4
LOC729737
LOC100132062
LOC100132287
LOC100133331
LOC100288069
LINC00115
LINC01128
FAM41C
LOC100130417
PLEKHN1
LINC01342
MIR200B
MIR429
MIR6726
MIR6727
MIR6808
CCNL2
LOC148413
MMP23A
NADK
PRKCZ
LOC100129534
PEX10
LOC115110
FAM213B
LINC00982
MIR4251
MEGF6
MIR551A
TP73-AS1
LINC01134
LINC01346
LOC284661
MIR4689
NPHP4
CHD5
PLEKHG5
CAMTA1
PER3
UTS2
PARK7
ERRFI1
SNORD128
ENO1-AS1
SLC2A7
MIR34AHG
MIR34A
H6PD
PIK3CD-AS1
NMNAT1
C1ORF127
MTOR-AS1
DRAXIN
NPPA-AS1
MIR6729
MIIP
MIR7846
MIR4632
SNORA59A
SNORA59B
MIR6730
PRAMEF2
PRAMEF4
PRAMEF25
PRAMEF26
PRAMEF5
PRDM2
TMEM51-AS1
FHAD1
FLJ37453
CLCNKA
CROCCP3
NBPF1
CROCCP2
MST1P2
MIR3675
ESPNP
MST1L
ATP13A2
PADI1
PADI4
PADI6
ALDH4A1
MIR4695
AKR7L
AKR7A3
LOC100506730
MINOS1
TMCO4
PLA2G5
PLA2G2D
PLA2G2F
UBXN10-AS1
VWA5B1
LINC01141
PINK1-AS
KIF17
EIF4G3
ECE1
LOC100506801
RAP1GAP
LINC00339
MIR4253
MIR4419A
ZNF436-AS1
TCEA3
ASAP3
MDS2
TCEB3-AS1
GALE
MYOM3
LOC284632
GRHL3
RCAN3AS
LOC100506985
TMEM57
LOC646471
MIR3917
PAFAH2
CNKSR1
UBXN11
CD52
ACTG1P20
MAP3K6
FCN3
AHDC1
IFI6
SCARNA1
SESN2
SNHG3
SNORA73B
SNHG12
SNORD99
SNORA61
SNORA44
SNORA16A
RNU11
MATN1-AS1
MIR4420
SNORD103A
SNORD103B
LINC01225
LINC01226
COL16A1
MIR4254
MTMR9LP
FNDC5
TMEM54
AK2
MIR3605
CSMD2-AS1
LOC653160
CLSPN
MAP7D1
SH3D21
MIR4255
LINC01137
ZC3H12A
MIR6732
RSPO1
MIR3659
LINC01343
GJA9-MYCBP
PPIEL
SNORA55
LOC101929516
COL9A2
ZFP69
NFYC-AS1
MIR30C1
SLFNL1-AS1
YBX1
CLDN19
SLC2A1-AS1
CFAP57
TMEM125
ELOVL1
SZT2
MIR6735
HYI
KDM4A-AS1
CCDC24
SLC6A9
SNORD55
SNORD46
SNORD38A
TCTEX1D4
PTCH2
LINC01144
MUTYH
CCDC163P
RPS15AP10
FAAH
FAAHP1
MKNK1-AS1
EFCAB14-AS1
CYP4B1
CYP4Z2P
CYP4A22
LINC00853
FOXD2-AS1
SKINTL
SLC5A9
SCP2
C1ORF123
LOC100507564
LOC105378732
SLC25A3P1
YIPF1
LDLRAD1
MIR4781
SSBP3-AS1
SSBP3
MROH7-TTC4
MROH7
LEXM
LOC100507634
MIR4422
C1ORF168
MYSM1
LINC01135
HSD52
FGGY
NFIA
KANK4
USP1
LINC00466
DLEU2L
PGM1
UBE2U
MIR4794
MIR3671
PDE4B
MIR3117
TCTEX1D1
GNG12-AS1
GNG12
MIR1262
DEPDC1-AS1
PIN1P1
ANKRD13C
ZRANB2-AS1
ZRANB2-AS2
NEGR1-IT1
LRRIQ3
FPGT-TNNI3K
TNNI3K
CRYZ
LHX8
SLC44A5
ACADM
SNORD45A
SNORD45B
USP33
NEXN-AS1
MGC27382
UOX
LINC01555
MIR4423
LOC646626
ODF2L
CLCA4
CLCA3P
LINC01140
LINC01364
GBP3
GBP1
GBP7
GBP4
GBP1P1
FLJ27354
GEMIN8P4
KIAA1107
SNORD21
SNORA66
CCDC18-AS1
LOC100129046
MIR760
LINC01057
SLC44A3
LOC729970
LOC101928118
FLJ31662
DPYD-AS1
MIR137HG
MIR2682
LOC729987
LOC100129620
PALMD
MIR548AA1
MIR548D1
AGL
DBT
RTCA-AS1
MIR553
LINC01349
EXTL2
LOC102606465
DNAJA1P5
COL11A1
ACTG1P4
AMY2B
LOC100129138
VAV3-AS1
AKNAD1
SPATA42
SCARNA2
PSRC1
GSTM4
GSTM5
GSTM3
EPS8L3
LOC440600
CYMP
LOC440602
CD53
CHI3L2
CHIAP2
CHIA
PGCP1
TMIGD3
LINC01160
RAP1A
FAM212B-AS1
LOC101928718
DDX20
MIR4256
ST7L
AKR7A2P1
SLC16A1-AS1
LOC100996251
LOC643441
PHTF1
AP4B1-AS1
AP4B1
HIPK1-AS1
ATP1A1-AS1
MIR320B1
CD101
LOC101929099
MIR942
LOC100996263
LOC101929147
HSD3BP4
LINC00622
NBPF7
HIST2H2BA
EMBP1
ANKRD20A12P
LINC01138
LINC00623
LINC00869
PFN1P2
NBPF8
NBPF9
NOTCH2NL
NBPF25P
NBPF10
TXNIP
POLR3GL
GNRHR2
MIR6736
PDZK1P1
NBPF11
LOC728989
PDIA3P1
FMO5
CHD1L
LINC00624
MIR5087
NBPF15
LOC645166
LOC388692
FAM231D
FCGR1C
LOC103091866
HIST2H2BC
MTMR11
CA14
APH1A
FALEC
MIR4257
ADAMTSL4
ADAMTSL4-AS1
HORMAD1
SEMA6C
GBAT2
SELENBP1
MIR554
SNX27
LOC100132111
S100A10
S100A11
RPTN
FLG-AS1
LCE5A
LCE6A
SPRR2C
LOC101928034
S100A13
SLC27A3
MIR6737
RAB13
MIR190B
C1ORF189
UBE2Q1-AS1
KCNN3
MIR4258
LOC100505666
MUC1
MIR92B
GBAP1
FAM189B
POU5F1P4
ASH1L-AS1
MSTO2P
SCARNA26A
SCARNA26B
SNORA80E
SCARNA4
MIR6738
TSACC
RHBG
IQGAP3
LRRC71
MIR765
CYCSP52
FCRL5
FCRL3
FCRL1
LOC646268
AIM2
CADM3-AS1
C1ORF204
CFAP45
MIR4259
SLAMF9
LINC01133
CASQ1
LOC729867
SUMO1P3
LOC101928372
ITLN2
PPOX
MIR5187
FCGR2A
FCGR2C
HSPA7
FCGR2B
RPL31P11
OLFML2B
MIR4654
MIR556
SH2D1B
CCDC190
LOC101928404
LOC100505795
LOC400794
LOC440700
LOC100147773
MIR921
FMO9P
ANKRD36BP1
MIR557
LOC100505918
LINC00626
NME7
KIFAP3
METTL11B
MIR3119-1
MIR3119-2
LINC01142
LOC101928650
MROH9
MIR1295A
MIR1295B
FMO6P
TOP1P1
PRRC2C
DNM3OS
MIR214
MIR3120
