symbolOfGene,geneNcbiID,geneNcbiType,diseaseUMLSCUI,diseaseName,diseaseType,disease_inheritance,disease_prevalence_class,disease_prevalence_geo_area,disease_prevalence_type,assocID,score,normalized_score,ei,el,numPMIDs,yearInitial,yearFinal,source
ACSM3,6296,protein-coding,C0033578,Prostatic Neoplasms,[disease],,,,,E8deeZ4Bu8jCkiVm18A8,0.5,0.3225806451612903,1.0,,2,2009,2024,DisGeNET
ACTA2-AS1,100132116,ncRNA,C0856750,Aneurysm of descending aorta (disorder),[disease],,,,,AJvtdp4Bu8jCkiVmHoDl,0.4,0.25806451612903225,,,0,,,DisGeNET
ACTA2-AS1,100132116,ncRNA,C2673186,"Aortic Aneurysm, Familial Thoracic 6",[disease],,,,,91O-dZ4BHkeZZb25vbWl,0.4,0.25806451612903225,1.0,,24,2007,2023,DisGeNET
ACTA2-AS1,100132116,ncRNA,C3279191,Arterial tortuosity,[phenotype],,,,,3VUOdp4BHkeZZb25yqx9,0.4,0.25806451612903225,,,0,,,DisGeNET
ACTA2-AS1,100132116,ncRNA,C4707243,Familial thoracic aortic aneurysm and aortic dissection,[disease],Autosomal dominant,1-9 / 1 000 000,Worldwide,Annual incidence,2IwZdp4Bu8jCkiVmf5uZ,0.4,0.25806451612903225,1.0,,28,2007,2024,DisGeNET
ACTA2-AS1,100132116,ncRNA,C3279690,MOYAMOYA DISEASE 5,[disease],,,,,8f0wdp4BZ4eu0iZeu1XY,0.4,0.25806451612903225,1.0,,2,2007,2009,DisGeNET
ACTA2-AS1,100132116,ncRNA,C3151201,Multisystemic smooth muscle dysfunction syndrome (disorder),[disease],Unknown,<1 / 1 000 000,Worldwide,Point prevalence,K_rLdZ4BZ4eu0iZeKV7Z,0.4,0.25806451612903225,,,0,,,DisGeNET
ACTN3,89,protein-coding,C3888204,ACTN3 DEFICIENCY,[disease],,,,,9_05dp4BZ4eu0iZePJ6o,0.75,0.48387096774193544,0.96,,25,1999,2026,DisGeNET
ACTN3,89,protein-coding,C0020564,Hypertrophy,[phenotype],,,,,8xJXeZ4BZ4eu0iZe2msj,0.2,0.12903225806451613,1.0,,3,2011,2026,DisGeNET
ACTN3,89,protein-coding,C0021655,Insulin Resistance,[phenotype],,,,,CBqDep4BZ4eu0iZeJ6H8,0.2,0.12903225806451613,1.0,,2,2011,2022,DisGeNET
ACTN3,89,protein-coding,C0410158,Muscle damage,[disease],,,,,52aPeJ4BHkeZZb25y8az,0.3,0.1935483870967742,1.0,,12,2012,2026,DisGeNET
ACTN3,89,protein-coding,C0013264,"Muscular Dystrophy, Duchenne",[disease],X-linked recessive,"1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000","Worldwide,United Kingdom,United States,Netherlands,Canada,United Kingdom,Ireland,Italy,Ireland,Worldwide,Egypt,Japan,South Africa,Denmark,Puerto rico","Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Point prevalence,Point prevalence,Point prevalence,Lifetime Prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence",jhcZep4BZ4eu0iZeYLeA,0.25,0.16129032258064516,0.8,,5,2014,2020,DisGeNET
ACTN3,89,protein-coding,C0028754,Obesity,[disease],,,,,MBJteZ4BZ4eu0iZeR_md,0.25,0.16129032258064516,0.6666666666666666,,3,2017,2021,DisGeNET
ACTN3,89,protein-coding,C0497406,Overweight,[phenotype],,,,,CqE6d54Bu8jCkiVmpTOo,0.2,0.12903225806451613,0.5,,2,2019,2026,DisGeNET
ACTN3,89,protein-coding,C3888203,SPRINTING PERFORMANCE,[phenotype],,,,,9f05dp4BZ4eu0iZePJ6o,0.4,0.25806451612903225,1.0,,9,1999,2008,DisGeNET
ACTN3,89,protein-coding,C0872084,Sarcopenia,[disease],,,,,ul0nd54BHkeZZb25qyr7,0.25,0.16129032258064516,0.6666666666666666,,9,2012,2024,DisGeNET
ACTN3,89,protein-coding,C3263722,Traumatic AND/OR non-traumatic injury,[disease],,,,,hYnzdZ4Bu8jCkiVmorIW,0.2,0.12903225806451613,0.8333333333333334,,6,2019,2026,DisGeNET
ACTN3,89,protein-coding,C0410256,muscle injury,[disease],,,,,Iw2weJ4BZ4eu0iZeOL86,0.2,0.12903225806451613,1.0,,9,2019,2026,DisGeNET
ACVR2B-AS1,100128640,ncRNA,C3151057,"HETEROTAXY, VISCERAL, 4, AUTOSOMAL",[disease],,,,,e_rLdZ4BZ4eu0iZeKV3Z,0.4,0.25806451612903225,,,0,,,DisGeNET
ACY3,91703,protein-coding,C0019196,Hepatitis C,[disease],,,,,9XAMep4BHkeZZb25Tu7Y,0.2,0.12903225806451613,1.0,,3,2005,2013,DisGeNET
ACY3,91703,protein-coding,C2239176,Liver carcinoma,[disease],Not applicable,"1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Europe,France,United Kingdom,Germany,Spain,Italy,Greece,Canada,Oceania,Latin America,China,Japan,Korea, Republic of,Mongolia,Africa,Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Poland,Portugal,Slovakia,Switzerland,Netherlands","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",_AMUd54BZ4eu0iZe_Rcl,0.2,0.12903225806451613,1.0,,4,2007,2020,DisGeNET
ADAM18,8749,protein-coding,C0002395,Alzheimer's Disease,[disease],,,,,pSDMe54BZ4eu0iZe5dmI,0.2,0.12903225806451613,1.0,,2,2000,2007,DisGeNET
ADAM18,8749,protein-coding,C0004096,Asthma,[disease],,,,,l3hCe54BHkeZZb25NHxW,0.2,0.12903225806451613,1.0,,2,2006,2007,DisGeNET
ADAM18,8749,protein-coding,C0678222,Breast Carcinoma,[disease],,,,,E3AMep4BHkeZZb25OOgT,0.25,0.16129032258064516,0.8,,5,2005,2024,DisGeNET
ADAM18,8749,protein-coding,C0596263,Carcinogenesis,[disease],,,,,JAjqd54BZ4eu0iZeVd6W,0.2,0.12903225806451613,1.0,,3,2012,2017,DisGeNET
ADAM18,8749,protein-coding,C0021376,"Inflammation, chronic",[phenotype],,,,,lnEdep4BHkeZZb25PHei,0.2,0.12903225806451613,1.0,,2,2016,2017,DisGeNET
ADAM18,8749,protein-coding,C0006142,Malignant neoplasm of breast,[disease],,,,,OCJofJ4BZ4eu0iZeg-0Q,0.25,0.16129032258064516,0.8333333333333334,,6,2005,2024,DisGeNET
ADAM18,8749,protein-coding,C1321872,Metastatic Cutaneous Melanoma,[disease],,,,,ygC3dp4BZ4eu0iZeGOTu,0.4,0.25806451612903225,,,0,,,DisGeNET
ADAM2,2515,protein-coding,C0002395,Alzheimer's Disease,[disease],,,,,nXg5e54BHkeZZb25kkU-,0.3,0.1935483870967742,1.0,,8,1984,2010,DisGeNET
ADAM2,2515,protein-coding,C0004364,Autoimmune Diseases,[disease],,,,,W3q-e54BHkeZZb259zep,0.25,0.16129032258064516,1.0,,3,1987,1989,DisGeNET
ADAM2,2515,protein-coding,C0007097,Carcinoma,[disease],,,,,WfyJfJ4Bu8jCkiVmzFc6,0.2,0.12903225806451613,0.5,,2,2000,2001,DisGeNET
ADAM2,2515,protein-coding,C1527349,Ductal Breast Carcinoma,[disease],,,,,kwLrdp4BZ4eu0iZe2ybB,0.4,0.25806451612903225,,,0,,,DisGeNET
ADAM2,2515,protein-coding,C0018801,Heart failure,[disease],,,,,7nghe54BHkeZZb25pgAe,0.25,0.16129032258064516,1.0,,1,1998,1998,DisGeNET
ADAM2,2515,protein-coding,C2239176,Liver carcinoma,[disease],Not applicable,"1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Europe,France,United Kingdom,Germany,Spain,Italy,Greece,Canada,Oceania,Latin America,China,Japan,Korea, Republic of,Mongolia,Africa,Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Poland,Portugal,Slovakia,Switzerland,Netherlands","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",-QCadp4BZ4eu0iZePAgd,0.2,0.12903225806451613,1.0,,2,2007,2007,DisGeNET
ADAM2,2515,protein-coding,C0006142,Malignant neoplasm of breast,[disease],,,,,SXmQe54BHkeZZb25vaD2,0.2,0.12903225806451613,0.5,,2,1999,2015,DisGeNET
ADAM2,2515,protein-coding,C0007137,Squamous cell carcinoma,[disease],,,,,eHl9e54BHkeZZb25xV-H,0.2,0.12903225806451613,1.0,,2,2003,2008,DisGeNET
ADAM2,2515,protein-coding,C0039730,Thalassemia,[disease],,,,,Hw_neJ4BZ4eu0iZe8UAF,0.2,0.12903225806451613,1.0,,2,1970,2019,DisGeNET
ADAM33,80332,protein-coding,C0002395,Alzheimer's Disease,[disease],,,,,BSDMe54BZ4eu0iZe5diH,0.35,0.2258064516129032,1.0,,13,2010,2025,DisGeNET
ADAM33,80332,protein-coding,C0004096,Asthma,[disease],,,,,1HhCe54BHkeZZb25NHtW,0.9,0.5806451612903226,0.8714285714285714,,140,2002,2026,DisGeNET
ADAM33,80332,protein-coding,C0085129,Bronchial Hyperreactivity,[disease],,,,,-8MleZ4Bu8jCkiVmfn4Z,0.75,0.48387096774193544,1.0,,14,2003,2012,DisGeNET
ADAM33,80332,protein-coding,C0024117,Chronic Obstructive Airway Disease,[disease],,,,,0RqHep4BZ4eu0iZetsUH,0.8,0.5161290322580645,0.9,,20,2007,2025,DisGeNET
ADAM33,80332,protein-coding,C1527349,Ductal Breast Carcinoma,[disease],,,,,nprcdp4Bu8jCkiVmNjw2,0.4,0.25806451612903225,,,0,,,DisGeNET
ADAM33,80332,protein-coding,C1458155,Mammary Neoplasms,[disease],,,,,s1PCdZ4BHkeZZb25r85B,0.5,0.3225806451612903,1.0,,2,2009,2018,DisGeNET
ADAM33,80332,protein-coding,C4255448,Metastasis,[phenotype],,,,,-lmedp4BHkeZZb25WJsT,0.3,0.1935483870967742,1.0,,10,2008,2025,DisGeNET
ADAM33,80332,protein-coding,C1321872,Metastatic Cutaneous Melanoma,[disease],,,,,yAC3dp4BZ4eu0iZeGOTu,0.4,0.25806451612903225,,,0,,,DisGeNET
ADAM33,80332,protein-coding,C1513183,Metastatic Lesion,[phenotype],,,,,rACydp4BZ4eu0iZeFt9O,0.3,0.1935483870967742,1.0,,10,2008,2025,DisGeNET
ADAM33,80332,protein-coding,C0035455,Rhinitis,[disease],,,,,rWnpeJ4BHkeZZb25WArm,0.55,0.3548387096774194,1.0,,3,2004,2026,DisGeNET
ADAM3A,1587,pseudo,C0019209,Hepatomegaly,[phenotype],,,,,ltUYep4Bu8jCkiVm0lUl,0.4,0.25806451612903225,1.0,,1,2017,2017,DisGeNET
ADAM3A,1587,pseudo,C0346359,Squamous cell carcinoma of conjunctiva,[disease],,,,,_AtReJ4BZ4eu0iZebU23,0.55,0.3548387096774194,1.0,,2,2014,2019,DisGeNET
ADAM3A,1587,pseudo,C3665419,gliomas intracranial,[disease],,,,,MFF6dZ4BHkeZZb25H3Xd,0.45,0.2903225806451613,1.0,,1,2011,2011,DisGeNET
ADAM7,8756,protein-coding,C0002395,Alzheimer's Disease,[disease],,,,,qSDMe54BZ4eu0iZe5dmI,0.25,0.16129032258064516,1.0,,7,2000,2025,DisGeNET
ADAM7,8756,protein-coding,C1321872,Metastatic Cutaneous Melanoma,[disease],,,,,ywC3dp4BZ4eu0iZeGOTu,0.4,0.25806451612903225,,,0,,,DisGeNET
ADAM8,101,protein-coding,C0004096,Asthma,[disease],,,,,VHcXe54BHkeZZb25pNWN,0.4,0.25806451612903225,1.0,,11,2006,2023,DisGeNET
ADAM8,101,protein-coding,C0678222,Breast Carcinoma,[disease],,,,,rWHQd54BHkeZZb25L-q1,0.25,0.16129032258064516,1.0,,6,2014,2023,DisGeNET
ADAM8,101,protein-coding,C4277682,Chemical and Drug Induced Liver Injury,[disease],,,,,JVrWdp4BHkeZZb25lucc,0.4,0.25806451612903225,1.0,,1,2014,2014,DisGeNET
ADAM8,101,protein-coding,C0021368,Inflammation,[phenotype],,,,,bxSmeZ4BZ4eu0iZeIJ2O,0.35,0.2258064516129032,1.0,,10,2003,2025,DisGeNET
ADAM8,101,protein-coding,C1513183,Metastatic Lesion,[phenotype],,,,,I1UAdp4BHkeZZb252k-U,0.25,0.16129032258064516,0.8888888888888888,,9,2004,2026,DisGeNET
ADAMTS12,81792,protein-coding,C0038454,Cerebrovascular accident,[disease],,,,,52eheJ4BHkeZZb25jz9G,0.65,0.41935483870967744,1.0,,3,2012,2022,DisGeNET
ADAMTS12,81792,protein-coding,C0036341,Schizophrenia,[disease],,,,,ERJPeZ4BZ4eu0iZeKgm5,0.5,0.3225806451612903,1.0,,1,2012,2012,DisGeNET
ADAMTS7,11173,protein-coding,C0003850,Arteriosclerosis,[disease],,,,,lnSVep4BHkeZZb25CeIv,0.35,0.2258064516129032,0.9166666666666666,,12,2013,2026,DisGeNET
ADAMTS7,11173,protein-coding,C0004153,Atherosclerosis,[disease],,,,,Bh-De54BZ4eu0iZendsR,0.4,0.25806451612903225,0.9285714285714286,,14,2013,2026,DisGeNET
ADAMTS7,11173,protein-coding,C0264694,Chronic ischemic heart disease,[disease],,,,,W3DveZ4BHkeZZb25GU5T,0.45,0.2903225806451613,1.0,,2,2011,2023,DisGeNET
ADAMTS7,11173,protein-coding,C0010054,Coronary Arteriosclerosis,[disease],,,,,Kn36fJ4BHkeZZb25Ah9A,0.9,0.5806451612903226,0.9090909090909091,,22,2011,2024,DisGeNET
ADAMTS7,11173,protein-coding,C1956346,Coronary Artery Disease,[disease],,,,,MofYdZ4Bu8jCkiVmrc_B,0.4,0.25806451612903225,0.9545454545454546,,22,2011,2024,DisGeNET
ADAMTS7,11173,protein-coding,C0010068,Coronary heart disease,[disease],,,,,MH1DfZ4BHkeZZb257D1M,0.65,0.41935483870967744,1.0,,5,2011,2021,DisGeNET
ADAMTS7,11173,protein-coding,C0151744,Myocardial Ischemia,[disease],,,,,1GRMeJ4BHkeZZb25_-or,0.45,0.2903225806451613,1.0,,2,2011,2023,DisGeNET
ADAMTS7,11173,protein-coding,C0032460,Polycystic Ovary Syndrome,[disease],,,,,mmkJeZ4BHkeZZb25i8wE,0.4,0.25806451612903225,1.0,,1,2011,2011,DisGeNET
ADAMTS9-AS1,101929335,ncRNA,C0005695,Bladder Neoplasm,[disease],,,,,Nxurep4BZ4eu0iZeRKdB,0.2,0.12903225806451613,1.0,,2,2020,2024,DisGeNET
ADAMTS9-AS1,101929335,ncRNA,C0699885,Carcinoma of bladder,[disease],,,,,D3xPfJ4BHkeZZb253WuR,0.2,0.12903225806451613,1.0,,2,2020,2024,DisGeNET
ADAMTS9-AS1,101929335,ncRNA,C0005684,Malignant neoplasm of urinary bladder,[disease],,,,,2iJWfJ4BZ4eu0iZeJ8Hw,0.2,0.12903225806451613,1.0,,2,2020,2024,DisGeNET
ADAMTS9-AS1,101929335,ncRNA,C0687120,Nephronophthisis,[disease],Autosomal recessive,1-9 / 100 000,Finland,Prevalence at birth,9Hfwep4BHkeZZb256RpI,0.4,0.25806451612903225,1.0,,1,2019,2019,DisGeNET
ADAMTS9-AS2,100507098,ncRNA,C0005695,Bladder Neoplasm,[disease],,,,,3xurep4BZ4eu0iZeRKZB,0.2,0.12903225806451613,1.0,,2,2020,2021,DisGeNET
ADAMTS9-AS2,100507098,ncRNA,C0009402,Colorectal Carcinoma,[disease],,,,,a-x5e54Bu8jCkiVmgMhK,0.2,0.12903225806451613,1.0,,2,2019,2023,DisGeNET
ADAMTS9-AS2,100507098,ncRNA,C0011884,Diabetic Retinopathy,[disease],,,,,1CQCfp4BZ4eu0iZeFGV8,0.4,0.25806451612903225,,,0,,,DisGeNET
ADAMTS9-AS2,100507098,ncRNA,C5848476,Malignant neoplasm of cecum and/or colon and/or rectum (disorder),[disease],,,,,w5N1dp4Bu8jCkiVmK0qo,0.2,0.12903225806451613,1.0,,2,2019,2023,DisGeNET
ADAMTS9-AS2,100507098,ncRNA,C0687120,Nephronophthisis,[disease],Autosomal recessive,1-9 / 100 000,Finland,Prevalence at birth,8Xfwep4BHkeZZb256RpI,0.4,0.25806451612903225,1.0,,1,2019,2019,DisGeNET
ADAMTS9-AS2,100507098,ncRNA,C0600139,Prostate carcinoma,[disease],,,,,CwoveJ4BZ4eu0iZezpFq,0.15,0.0967741935483871,1.0,,3,2021,2023,DisGeNET
ADAMTSL4,54507,protein-coding,C5563177,Autosomal recessive (see Miscellaneous),[phenotype],,,,,EaV0d54Bu8jCkiVm1SrX,0.25,0.16129032258064516,1.0,,2,2013,2025,DisGeNET
ADAMTSL4,54507,protein-coding,C0086543,Cataract,[disease],,,,,IRgzep4BZ4eu0iZexXyP,0.3,0.1935483870967742,1.0,,2,2022,2022,DisGeNET
ADAMTSL4,54507,protein-coding,C1271219,Congenital ectopic pupil,[disease],,,,,QaeNd54Bu8jCkiVmzh1-,0.2,0.12903225806451613,1.0,,1,2026,2026,DisGeNET
ADAMTSL4,54507,protein-coding,C0010278,Craniosynostosis,[disease],"Autosomal dominant,Autosomal recessive,Not applicable,Unknown,X-linked recessive","1-5 / 10 000,1-5 / 10 000,1-5 / 10 000","France,Australia,United States","Prevalence at birth,Prevalence at birth,Prevalence at birth",TQdmfZ4Bu8jCkiVmoCUR,0.5,0.3225806451612903,1.0,,3,2010,2020,DisGeNET
ADAMTSL4,54507,protein-coding,C1863678,Craniosynostosis with Ectopia Lentis,[disease],,,,,Z1KOdZ4BHkeZZb25xBiV,0.5,0.3225806451612903,1.0,,5,2010,2022,DisGeNET
ADAMTSL4,54507,protein-coding,C3541474,"ECTOPIA LENTIS 2, ISOLATED, AUTOSOMAL RECESSIVE",[disease],,,,,eVmmdp4BHkeZZb25KOtU,0.65,0.41935483870967744,1.0,Definitive,15,1990,2022,DisGeNET
ADAMTSL4,54507,protein-coding,C0013581,Ectopia Lentis,[disease],,,,,9xgxep4BZ4eu0iZeW2mS,0.8,0.5161290322580645,1.0,,21,2009,2025,DisGeNET
ADAMTSL4,54507,protein-coding,C1644196,Ectopia Lentis with Ectopia of Pupil,[disease],,,,,FPwGdp4BZ4eu0iZeFyf9,0.8,0.5161290322580645,1.0,Strong,13,1993,2022,DisGeNET
ADAMTSL4,54507,protein-coding,C1851286,Ectopia lentis isolated,[disease],"Autosomal dominant,Autosomal recessive",<1 / 1 000 000,Worldwide,Point prevalence,7YfXdZ4Bu8jCkiVmUbYs,0.7,0.4516129032258064,1.0,Supportive,6,2009,2023,DisGeNET
ADAMTSL4,54507,protein-coding,C0017601,Glaucoma,[disease],,,,,Gxg5ep4BZ4eu0iZeqZvU,0.25,0.16129032258064516,1.0,,2,2022,2024,DisGeNET
ADAMTSL4,54507,protein-coding,C1621958,Glioblastoma Multiforme,[disease],"Multigenic/multifactorial,Not applicable","1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Worldwide,Worldwide,Europe,United States,Croatia,Greece,Specific population","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",YIfPdZ4Bu8jCkiVm4ipp,0.2,0.12903225806451613,1.0,,2,2019,2022,DisGeNET
ADAMTSL4,54507,protein-coding,C0023308,Lens Diseases,[disease],,,,,EBJUeZ4BZ4eu0iZeaWK2,0.2,0.12903225806451613,1.0,,2,2015,2022,DisGeNET
ADAMTSL4,54507,protein-coding,C0027092,Myopia,[disease],,,,,-26leZ4BHkeZZb25rz08,0.2,0.12903225806451613,1.0,,2,2018,2025,DisGeNET
ADAMTSL5,339366,protein-coding,C0162872,"Aortic Aneurysm, Thoracic",[disease],,,,,vbu4eJ4Bu8jCkiVmrbW0,0.15,0.0967741935483871,1.0,,1,2021,2021,DisGeNET
ADAMTSL5,339366,protein-coding,C1527349,Ductal Breast Carcinoma,[disease],,,,,6ALrdp4BZ4eu0iZe2ybB,0.4,0.25806451612903225,,,0,,,DisGeNET
ADAMTSL5,339366,protein-coding,C0033860,Psoriasis,[disease],,,,,em18eZ4BHkeZZb25dSAF,0.3,0.1935483870967742,1.0,,3,2015,2024,DisGeNET
ADAP2,55803,protein-coding,C0006142,Malignant neoplasm of breast,[disease],,,,,lvT4e54Bu8jCkiVmtjfy,0.15,0.0967741935483871,1.0,,2,2023,2023,DisGeNET
ADAP2,55803,protein-coding,C0027830,neurofibroma,[disease],,,,,O9tpep4Bu8jCkiVmUw-y,0.2,0.12903225806451613,1.0,,2,2001,2009,DisGeNET
ADAT1,23536,protein-coding,C0376358,Malignant neoplasm of prostate,[disease],,,,,wF9xd54BHkeZZb25XmQC,0.4,0.25806451612903225,1.0,,7,2002,2022,DisGeNET
ADCK2,90956,protein-coding,C0162670,Mitochondrial Myopathies,[disease],,,,,nw22eJ4BZ4eu0iZee98B,0.3,0.1935483870967742,1.0,,3,2019,2024,DisGeNET
ADCY4,196883,protein-coding,C0678222,Breast Carcinoma,[disease],,,,,JgtUeJ4BZ4eu0iZeNVFG,0.2,0.12903225806451613,1.0,,3,2019,2025,DisGeNET
ADCY4,196883,protein-coding,C0006142,Malignant neoplasm of breast,[disease],,,,,QOtre54Bu8jCkiVmVPyJ,0.2,0.12903225806451613,1.0,,3,2019,2025,DisGeNET
ADGRB1,575,protein-coding,C0278878,Adult Glioblastoma,[disease],,,,,bhOGeZ4BZ4eu0iZeCZj0,0.45,0.2903225806451613,1.0,,1,2003,2003,DisGeNET
ADGRB1,575,protein-coding,C0006118,Brain Neoplasms,[disease],,,,,jucme54Bu8jCkiVmo-4D,0.25,0.16129032258064516,1.0,,3,2004,2022,DisGeNET
ADGRB1,575,protein-coding,C0017636,Glioblastoma,[disease],,,,,DXNUep4BHkeZZb25ahhJ,0.65,0.41935483870967744,1.0,,6,1997,2021,DisGeNET
ADGRB1,575,protein-coding,C1621958,Glioblastoma Multiforme,[disease],"Multigenic/multifactorial,Not applicable","1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Worldwide,Worldwide,Europe,United States,Croatia,Greece,Specific population","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",0ofPdZ4Bu8jCkiVm4itq,0.2,0.12903225806451613,1.0,,5,1997,2021,DisGeNET
ADGRB1,575,protein-coding,C0022116,Ischemia,[phenotype],,,,,_nSBep4BHkeZZb258Fbf,0.25,0.16129032258064516,0.5,,2,2001,2004,DisGeNET
ADGRB1,575,protein-coding,C0025149,Medulloblastoma,[disease],Not applicable,"1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000","Europe,Europe,United States","Annual incidence,Point prevalence,Annual incidence",aNL7eZ4Bu8jCkiVmdfnS,0.25,0.16129032258064516,1.0,,3,2018,2020,DisGeNET
ADGRB1,575,protein-coding,C1513183,Metastatic Lesion,[phenotype],,,,,XJJvdp4Bu8jCkiVmn9Fa,0.2,0.12903225806451613,1.0,,3,1998,2020,DisGeNET
ADGRB1,575,protein-coding,C0524528,Pervasive Development Disorder,[disease],,,,,2F9nd54BHkeZZb25BAtZ,0.25,0.16129032258064516,1.0,,2,2022,2025,DisGeNET
ADGRB1,575,protein-coding,C1514422,Primary Glioblastoma,[disease],,,,,_Fqrdp4BHkeZZb25ugDR,0.45,0.2903225806451613,1.0,,1,2003,2003,DisGeNET
ADGRB1,575,protein-coding,C0036341,Schizophrenia,[disease],,,,,jcQveZ4Bu8jCkiVm5FBi,0.25,0.16129032258064516,1.0,,2,2023,2024,DisGeNET
ADGRB1,575,protein-coding,C0036572,Seizures,[phenotype],,,,,CmxYeZ4BHkeZZb252CJb,0.25,0.16129032258064516,1.0,,2,2022,2025,DisGeNET
ADGRE1,2015,protein-coding,C0003850,Arteriosclerosis,[disease],,,,,8XSVep4BHkeZZb25CeMv,0.25,0.16129032258064516,1.0,,2,1990,2011,DisGeNET
ADGRE1,2015,protein-coding,C0004153,Atherosclerosis,[disease],,,,,kh-De54BZ4eu0iZendwR,0.25,0.16129032258064516,1.0,,2,1990,2011,DisGeNET
ADGRE1,2015,protein-coding,C0266929,Chronic Periodontitis,[disease],,,,,YNtqep4Bu8jCkiVmASpo,0.2,0.12903225806451613,0.6666666666666666,,3,2003,2014,DisGeNET
ADGRE1,2015,protein-coding,C0009319,Colitis,[disease],,,,,d-cfe54Bu8jCkiVmQJHO,0.25,0.16129032258064516,1.0,,2,2014,2024,DisGeNET
ADGRE1,2015,protein-coding,C0699790,Colon Carcinoma,[disease],,,,,kegwe54Bu8jCkiVmSG1F,0.2,0.12903225806451613,1.0,,3,2021,2024,DisGeNET
ADGRE1,2015,protein-coding,C0009402,Colorectal Carcinoma,[disease],,,,,UyDUe54BZ4eu0iZeBtyD,0.25,0.16129032258064516,1.0,,2,2022,2024,DisGeNET
ADGRE1,2015,protein-coding,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",[disease],,,,,On38fJ4BHkeZZb25hSKH,0.25,0.16129032258064516,1.0,,1,2019,2019,DisGeNET
ADGRE1,2015,protein-coding,C0021368,Inflammation,[phenotype],,,,,Am61eZ4BHkeZZb25nZ2k,0.35,0.2258064516129032,1.0,,2,2011,2017,DisGeNET
ADGRE1,2015,protein-coding,C0021390,Inflammatory Bowel Diseases,[disease],,,,,iBhBep4BZ4eu0iZeFuDD,0.25,0.16129032258064516,1.0,,2,2021,2022,DisGeNET
